Title,Composer,CatNo,Date,Range,Inst1,Inst2,Inst3,Genre,Subgenre,Species ,Species2,Nationality,Key,Modulation,Folder,Filename,Comments
Sonata Guitar Duet 1 Moderato,Abel,K174,,1740-1770,Guitar,,,ChamberSonata,Duet,,,Germany,A major,,A,Sonata Guitar Duet 1 Moderato K174 A major,
Sonata Guitar Duet 2 Cantabile,Abel,K174,,1740-1770,Guitar,,,ChamberSonata,Duet,,,Germany,D major,,A,Sonata Guitar Duet 2 Cantabile K174 D major,
Sonata Guitar Duet 3 Vivace,Abel,K174,,1740-1770,Guitar,,,ChamberSonata,Duet,,,Germany,A major,,A,Sonata Guitar Duet 3 Vivace K174 A major,
Symphony in Eb,Abel,Op7No6,,1740-1770,Orchestra,,,Symphony,,,,Germany,Eb major,,A,Symphony in Eb Op7No6 Eb major,
Violin Concerto in A-,Accolay,No1,1868,,Violin,Piano,,Concerto,,,,,A minor,A major,A,Violin Concerto in A- No1 A minor,
Le Brasseur de Preston Ouverture,Adam,,1838,,Piano,,,Overture,,,,France,Eb major,,A,Le Brasseur de Preston Ouverture Eb major,
"Le Postillon de Lonjumeau I Mes amis, ecoutez l'histoire",Adam,,1836,,Piano,,,OtherSolo,,,,France,G major,,A,"Le Postillon de Lonjumeau I Mes amis, ecoutez l'histoire G major",
"Noel, for voice, harp, and strings",Adam,,,1840-1860,Voice,Harp,Orchestra,OtherTextedSacred,,,,France,Bb major,,A,"Noel, for voice, harp, and strings Bb major",
O Holy Night!,Adam,,1847,,Orchestra,,,Prelude,,,,France,C major,,A,O Holy Night! C major,
Sonata per il Clavicembalo,Agnesi,,1745,,Piano,,,SoloSonata,,,,Italy,F major,Eb major,A,Sonata per il Clavicembalo F major,
Adagio and Andante in G,Aguado,,1825,,Guitar,,,OtherSolo,,,,,G major,,A,Adagio and Andante in G G major,
Allegro,Aguado,,1825,,Guitar,,,OtherSolo,,,,,A major,,A,Allegro A major,
Brillante,Aguado,,1825,,Guitar,,,OtherSolo,,,,,E major,,A,Brillante E major,
Cantabile,Aguado,,1825,,Guitar,,,OtherSolo,,,,,A major,,A,Cantabile A major,
Minuet,Aguado,,1825,,Guitar,,,OtherSolo,,,,,C major,,A,Minuet C major,
Rondo in A-,Aguado,,1825,,Guitar,,,OtherSolo,,,,,A minor,,A,Rondo A minor,
Rondo in A-,Aguado,,1825,,Guitar,,,OtherSolo,,,,,A minor,,A,Rondo in A- A minor,
Study in A-,Aguado,,1825,,Piano,,,Etude,,,,,A minor,,A,Study in A- A minor,
Study in C,Aguado,,1825,,Guitar,,,Etude,,,,,C major,,A,Study in C C major,
Study in E-,Aguado,,1825,,Guitar,,,Etude,,,,,E minor,G major,A,Study in E- E minor,
Study in G,Aguado,,1825,,Guitar,,,Etude,,,,,G major,,A,Study in G G major,
Study,Aguado,,1825,,Guitar,,,Etude,,,,,A minor,,A,Two Studies Study Andante in A- A minor,
Study,Aguado,,1825,,Guitar,,,Etude,,,,,E minor,,A,Two Studies Study in E- E minor,
Kanarien Trio,Ahlefeldt,,,1800-1820,Violin,Piano,,Duet,,,,,F major,,A,Kanarien Trio F major,
Bajo La Palmera,Albeniz,Op232No3,1892,,Guitar,Piano,,Duet,,,,Spain,D major,,A,Bajo La Palmera D major,
Berceuse,Albeniz,,,1880-1899,Piano,Guitar,,Duet,,,,Spain,G major,,A,Berceuse G major,
Cantos de Espana 4 Cordoba,Albeniz,Op232,1892,,Guitar,,,OtherSolo,,,,Spain,F major,D minor,A,Cantos de Espana 4 Cordoba Op232 F major,
Concierto Fantastico 1 Allegro ma non troppo,Albeniz,Op78,,1880-1910,Piano,Orchestra,,Concerto,,,,Spain,A minor,,A,Concierto Fantastico 1 Allegro ma non troppo Op78 A minor,
Concierto Fantastico 2 Andante-Presto,Albeniz,Op78,,1880-1910,Piano,Orchestra,,Concerto,,,,Spain,B minor,,A,Concierto Fantastico 2 Andante-Presto Op78 B minor,
Concierto Fantastico 3 Allegro,Albeniz,Op78,,1880-1910,Piano,Orchestra,,Concerto,,,,Spain,B minor,A major,A,Concierto Fantastico 3 Allegro Op78 B minor,
Cotillon Valse,Albeniz,,1896,,Piano,,,OtherSolo,,,,Spain,Eb major,,A,Cotillon Valse Eb major,
Iberia Suite Book I 1 Evocacion,Albeniz,,1906,,Piano,,,OtherSolo,,,,Spain,Ab minor,,A,Iberia Suite Book I 1 Evocacion Ab minor,
Iberia Suite Book I 2 El Puerto,Albeniz,,1906,,Piano,,,OtherSolo,,,,Spain,Db major,,A,Iberia Suite Book I 2 El Puerto Db major,
Iberia Suite Book I 3 Fete Dieu a Seville,Albeniz,,1906,,Piano,,,OtherSolo,,,,Spain,F# minor,,A,Iberia Suite Book I 3 Fete Dieu a Seville F# minor,
Iberia Suite Book II 1 Rondena,Albeniz,,1906,,Piano,,,OtherSolo,,,,Spain,D major,,A,Iberia Suite Book II 1 Rondena D major,
Iberia Suite Book II 2 Almeria,Albeniz,,1906,,Piano,,,OtherSolo,,,,Spain,G major,,A,Iberia Suite Book II 2 Almeria G major,
Iberia Suite Book II 3 Triana,Albeniz,,1906,,Piano,,,OtherSolo,,,,Spain,F# minor,,A,Iberia Suite Book II 3 Triana F# minor,
Iberia Suite Book III 1 El Albaicin,Albeniz,,1907,,Piano,,,OtherSolo,,,,Spain,Bb minor,,A,Iberia Suite Book III 1 El Albaicin Bb minor,
